Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,Region
7,5,2026-08-04,7864,1048,1,0,0,0,d,Extra,1190,East Region
7,6,2026-08-05,5272,822,1,0,0,0,d,Extra,1190,East Region
7,7,2026-08-06,8202,1099,1,1,0,0,d,Extra,1190,East Region
7,1,2026-08-07,5027,674,1,0,0,0,d,Extra,1190,East Region
7,2,2026-08-08,6534,811,1,0,0,0,d,Extra,1190,East Region
7,3,2026-08-09,10495,1160,1,1,0,0,d,Extra,1190,East Region
7,4,2026-08-10,3445,465,1,0,0,0,d,Extra,1190,East Region
8,2,2026-08-01,2634,459,1,1,0,0,a,Extended,1310,West Region
8,3,2026-08-02,6884,886,1,1,0,0,a,Extended,1310,West Region
8,4,2026-08-03,4314,669,1,1,0,0,a,Extended,1310,West Region
8,5,2026-08-04,6866,970,1,1,0,0,a,Extended,1310,West Region
8,6,2026-08-05,4702,561,1,1,0,0,a,Extended,1310,West Region
8,7,2026-08-06,4844,690,1,1,0,0,a,Extended,1310,West Region
8,1,2026-08-07,4110,454,1,1,0,0,a,Extended,1310,West Region
8,2,2026-08-08,5832,731,1,1,0,0,a,Extended,1310,West Region
8,3,2026-08-09,10385,1097,1,1,0,0,a,Extended,1310,West Region
8,4,2026-08-10,2778,419,1,1,0,0,a,Extended,1310,West Region
9,2,2026-08-01,8012,863,1,0,0,0,b,Basic,1430,Central Region
9,3,2026-08-02,5705,767,1,0,0,0,b,Basic,1430,Central Region
9,4,2026-08-03,5768,632,1,1,0,0,b,Basic,1430,Central Region
9,5,2026-08-04,4748,669,1,0,0,0,b,Basic,1430,Central Region
9,6,2026-08-05,5593,886,1,0,0,0,b,Basic,1430,Central Region
9,7,2026-08-06,5429,599,1,1,0,0,b,Basic,1430,Central Region
9,1,2026-08-07,4793,847,1,0,0,0,b,Basic,1430,Central Region
9,2,2026-08-08,8068,1193,1,0,0,0,b,Basic,1430,Central Region
9,3,2026-08-09,3292,548,1,1,0,0,b,Basic,1430,Central Region
9,4,2026-08-10,4697,585,1,0,0,0,b,Basic,1430,Central Region
10,2,2026-08-01,8079,952,1,1,0,0,c,Extra,1550,North Region
10,3,2026-08-02,5622,914,1,1,0,0,c,Extra,1550,North Region
10,4,2026-08-03,6211,1095,1,1,0,0,c,Extra,1550,North Region
10,5,2026-08-04,3532,494,1,1,0,0,c,Extra,1550,North Region
10,6,2026-08-05,2802,446,1,1,0,0,c,Extra,1550,North Region
10,7,2026-08-06,8792,968,1,1,0,0,c,Extra,1550,North Region
10,1,2026-08-07,5451,608,1,1,0,0,c,Extra,1550,North Region
10,2,2026-08-08,4847,716,1,1,0,0,c,Extra,1550,North Region
10,3,2026-08-09,5562,956,1,1,0,0,c,Extra,1550,North Region
10,4,2026-08-10,8943,1107,1,1,0,0,c,Extra,1550,North Region
11,2,2026-08-01,4661,495,1,0,0,0,d,Extended,1670,South Region
11,3,2026-08-02,7118,822,1,0,0,0,d,Extended,1670,South Region
11,4,2026-08-03,4608,528,1,1,0,0,d,Extended,1670,South Region
11,5,2026-08-04,2730,463,1,0,0,0,d,Extended,1670,South Region
11,6,2026-08-05,3310,481,1,0,0,0,d,Extended,1670,South Region
11,7,2026-08-06,10487,1151,1,1,0,0,d,Extended,1670,South Region
11,1,2026-08-07,3699,456,1,0,0,0,d,Extended,1670,South Region
11,2,2026-08-08,8269,1167,1,0,0,0,d,Extended,1670,South Region
11,3,2026-08-09,5608,736,1,1,0,0,d,Extended,1670,South Region
11,4,2026-08-10,3178,465,1,0,0,0,d,Extended,1670,South Region
12,2,2026-08-01,7862,955,1,1,0,0,a,Basic,1790,East Region
12,3,2026-08-02,7569,971,1,1,0,0,a,Basic,1790,East Region
12,4,2026-08-03,6787,944,1,1,0,0,a,Basic,1790,East Region
12,5,2026-08-04,5610,729,1,1,0,0,a,Basic,1790,East Region
12,6,2026-08-05,5614,842,1,1,0,0,a,Basic,1790,East Region
12,7,2026-08-06,4464,629,1,1,0,0,a,Basic,1790,East Region
12,1,2026-08-07,9734,1157,1,1,0,0,a,Basic,1790,East Region
12,2,2026-08-08,9448,1105,1,1,0,0,a,Basic,1790,East Region
12,3,2026-08-09,10317,1168,1,1,0,0,a,Basic,1790,East Region
12,4,2026-08-10,3639,531,1,1,0,0,a,Basic,1790,East Region
13,2,2026-08-01,4167,525,1,0,0,0,b,Extra,1910,West Region
13,3,2026-08-02,6381,1118,1,0,0,0,b,Extra,1910,West Region
13,4,2026-08-03,4648,524,1,1,0,0,b,Extra,1910,West Region
13,5,2026-08-04,5632,911,1,0,0,0,b,Extra,1910,West Region
13,6,2026-08-05,3830,599,1,0,0,0,b,Extra,1910,West Region
13,7,2026-08-06,5703,950,1,1,0,0,b,Extra,1910,West Region
13,1,2026-08-07,6820,733,1,0,0,0,b,Extra,1910,West Region
13,2,2026-08-08,4235,665,1,0,0,0,b,Extra,1910,West Region
13,3,2026-08-09,9508,1171,1,1,0,0,b,Extra,1910,West Region
13,4,2026-08-10,7192,789,1,0,0,0,b,Extra,1910,West Region
14,2,2026-08-01,5583,784,1,1,0,0,c,Extended,2030,Central Region
14,3,2026-08-02,6529,689,1,1,0,0,c,Extended,2030,Central Region
14,4,2026-08-03,7172,817,1,1,0,0,c,Extended,2030,Central Region
14,5,2026-08-04,3247,458,1,1,0,0,c,Extended,2030,Central Region
14,6,2026-08-05,4681,601,1,1,0,0,c,Extended,2030,Central Region
14,7,2026-08-06,3142,553,1,1,0,0,c,Extended,2030,Central Region
14,1,2026-08-07,8824,1141,1,1,0,0,c,Extended,2030,Central Region
14,2,2026-08-08,3735,412,1,1,0,0,c,Extended,2030,Central Region
14,3,2026-08-09,8283,918,1,1,0,0,c,Extended,2030,Central Region
14,4,2026-08-10,4079,733,1,1,0,0,c,Extended,2030,Central Region
15,2,2026-08-01,6971,855,1,0,0,0,d,Basic,2150,North Region
15,3,2026-08-02,9170,1160,1,0,0,0,d,Basic,2150,North Region
15,4,2026-08-03,4868,643,1,1,0,0,d,Basic,2150,North Region
15,5,2026-08-04,7879,1123,1,0,0,0,d,Basic,2150,North Region
15,6,2026-08-05,8379,1078,1,0,0,0,d,Basic,2150,North Region
15,7,2026-08-06,4643,704,1,1,0,0,d,Basic,2150,North Region
15,1,2026-08-07,6709,1051,1,0,0,0,d,Basic,2150,North Region
15,2,2026-08-08,9251,1017,1,0,0,0,d,Basic,2150,North Region
15,3,2026-08-09,4984,607,1,1,0,0,d,Basic,2150,North Region
15,4,2026-08-10,6750,1105,1,0,0,0,d,Basic,2150,North Region
16,2,2026-08-01,6827,1195,1,1,0,0,a,Extra,2270,South Region
16,3,2026-08-02,6030,682,1,1,0,0,a,Extra,2270,South Region
16,4,2026-08-03,5582,899,1,1,0,0,a,Extra,2270,South Region
16,5,2026-08-04,7767,1151,1,1,0,0,a,Extra,2270,South Region
16,6,2026-08-05,7596,840,1,1,0,0,a,Extra,2270,South Region
16,7,2026-08-06,4625,786,1,1,0,0,a,Extra,2270,South Region
16,1,2026-08-07,5167,571,1,1,0,0,a,Extra,2270,South Region
16,2,2026-08-08,8787,1062,1,1,0,0,a,Extra,2270,South Region
16,3,2026-08-09,6859,894,1,1,0,0,a,Extra,2270,South Region
16,4,2026-08-10,4645,683,1,1,0,0,a,Extra,2270,South Region
17,2,2026-08-01,7429,955,1,0,0,0,b,Extended,2390,East Region
17,3,2026-08-02,6418,1003,1,0,0,0,b,Extended,2390,East Region
17,4,2026-08-03,5126,930,1,1,0,0,b,Extended,2390,East Region
17,5,2026-08-04,8196,1019,1,0,0,0,b,Extended,2390,East Region
17,6,2026-08-05,5512,782,1,0,0,0,b,Extended,2390,East Region
17,7,2026-08-06,6765,1173,1,1,0,0,b,Extended,2390,East Region
17,1,2026-08-07,4781,553,1,0,0,0,b,Extended,2390,East Region
17,2,2026-08-08,4697,569,1,0,0,0,b,Extended,2390,East Region
17,3,2026-08-09,4687,702,1,1,0,0,b,Extended,2390,East Region
17,4,2026-08-10,7018,1137,1,0,0,0,b,Extended,2390,East Region
18,2,2026-08-01,9268,1021,1,1,0,0,c,Basic,2510,West Region
18,3,2026-08-02,5399,954,1,1,0,0,c,Basic,2510,West Region
18,4,2026-08-03,3677,454,1,1,0,0,c,Basic,2510,West Region
18,5,2026-08-04,4330,460,1,1,0,0,c,Basic,2510,West Region
18,6,2026-08-05,3604,621,1,1,0,0,c,Basic,2510,West Region
18,7,2026-08-06,7771,1135,1,1,0,0,c,Basic,2510,West Region
18,1,2026-08-07,4601,830,1,1,0,0,c,Basic,2510,West Region
18,2,2026-08-08,9406,1001,1,1,0,0,c,Basic,2510,West Region
18,3,2026-08-09,6259,1043,1,1,0,0,c,Basic,2510,West Region
18,4,2026-08-10,5381,832,1,1,0,0,c,Basic,2510,West Region
19,2,2026-08-01,5843,619,1,0,0,0,d,Extra,2630,Central Region
19,3,2026-08-02,8580,1065,1,0,0,0,d,Extra,2630,Central Region
19,4,2026-08-03,5612,609,1,1,0,0,d,Extra,2630,Central Region
19,5,2026-08-04,6708,765,1,0,0,0,d,Extra,2630,Central Region
19,6,2026-08-05,7609,1008,1,0,0,0,d,Extra,2630,Central Region
19,7,2026-08-06,10726,1139,1,1,0,0,d,Extra,2630,Central Region
19,1,2026-08-07,8483,1186,1,0,0,0,d,Extra,2630,Central Region
19,2,2026-08-08,3609,567,1,0,0,0,d,Extra,2630,Central Region
19,3,2026-08-09,8842,974,1,1,0,0,d,Extra,2630,Central Region
19,4,2026-08-10,5579,602,1,0,0,0,d,Extra,2630,Central Region
20,2,2026-08-01,4846,566,1,1,0,0,a,Extended,2750,North Region
20,3,2026-08-02,3543,405,1,1,0,0,a,Extended,2750,North Region
20,4,2026-08-03,9495,1086,1,1,0,0,a,Extended,2750,North Region
20,5,2026-08-04,9919,1089,1,1,0,0,a,Extended,2750,North Region
20,6,2026-08-05,3733,457,1,1,0,0,a,Extended,2750,North Region
20,7,2026-08-06,5449,881,1,1,0,0,a,Extended,2750,North Region
20,1,2026-08-07,8041,1161,1,1,0,0,a,Extended,2750,North Region
20,2,2026-08-08,10757,1143,1,1,0,0,a,Extended,2750,North Region
20,3,2026-08-09,2830,405,1,1,0,0,a,Extended,2750,North Region
20,4,2026-08-10,4814,862,1,1,0,0,a,Extended,2750,North Region
21,2,2026-08-01,5306,911,1,0,0,0,b,Basic,2870,South Region
21,3,2026-08-02,9278,1136,1,0,0,0,b,Basic,2870,South Region
21,4,2026-08-03,3425,513,1,1,0,0,b,Basic,2870,South Region
21,5,2026-08-04,6242,711,1,0,0,0,b,Basic,2870,South Region
21,6,2026-08-05,2636,463,1,0,0,0,b,Basic,2870,South Region
21,7,2026-08-06,5340,729,1,1,0,0,b,Basic,2870,South Region
21,1,2026-08-07,7736,1046,1,0,0,0,b,Basic,2870,South Region
21,2,2026-08-08,5259,883,1,0,0,0,b,Basic,2870,South Region
21,3,2026-08-09,3954,668,1,1,0,0,b,Basic,2870,South Region
21,4,2026-08-10,4891,786,1,0,0,0,b,Basic,2870,South Region
22,2,2026-08-01,6003,995,1,1,0,0,c,Extra,2990,East Region
22,3,2026-08-02,4810,775,1,1,0,0,c,Extra,2990,East Region
22,4,2026-08-03,6847,822,1,1,0,0,c,Extra,2990,East Region
22,5,2026-08-04,3605,431,1,1,0,0,c,Extra,2990,East Region
22,6,2026-08-05,9942,1139,1,1,0,0,c,Extra,2990,East Region
22,7,2026-08-06,5216,865,1,1,0,0,c,Extra,2990,East Region
22,1,2026-08-07,4707,760,1,1,0,0,c,Extra,2990,East Region
22,2,2026-08-08,6643,890,1,1,0,0,c,Extra,2990,East Region
22,3,2026-08-09,4949,853,1,1,0,0,c,Extra,2990,East Region
22,4,2026-08-10,6215,903,1,1,0,0,c,Extra,2990,East Region
23,2,2026-08-01,6086,679,1,0,0,0,d,Extended,3110,West Region
23,3,2026-08-02,5139,723,1,0,0,0,d,Extended,3110,West Region
23,4,2026-08-03,8944,1180,1,1,0,0,d,Extended,3110,West Region
23,5,2026-08-04,5932,833,1,0,0,0,d,Extended,3110,West Region
23,6,2026-08-05,10327,1103,1,0,0,0,d,Extended,3110,West Region
23,7,2026-08-06,3246,470,1,1,0,0,d,Extended,3110,West Region
23,1,2026-08-07,4901,622,1,0,0,0,d,Extended,3110,West Region
23,2,2026-08-08,4915,873,1,0,0,0,d,Extended,3110,West Region
23,3,2026-08-09,8641,935,1,1,0,0,d,Extended,3110,West Region
23,4,2026-08-10,7816,894,1,0,0,0,d,Extended,3110,West Region
24,2,2026-08-01,5254,583,1,1,0,0,a,Basic,3230,Central Region
24,3,2026-08-02,5670,899,1,1,0,0,a,Basic,3230,Central Region
24,4,2026-08-03,7564,888,1,1,0,0,a,Basic,3230,Central Region
24,5,2026-08-04,4751,851,1,1,0,0,a,Basic,3230,Central Region
24,6,2026-08-05,8708,1075,1,1,0,0,a,Basic,3230,Central Region
24,7,2026-08-06,4644,783,1,1,0,0,a,Basic,3230,Central Region
24,1,2026-08-07,6003,711,1,1,0,0,a,Basic,3230,Central Region
24,2,2026-08-08,3583,632,1,1,0,0,a,Basic,3230,Central Region
24,3,2026-08-09,3946,609,1,1,0,0,a,Basic,3230,Central Region
24,4,2026-08-10,4848,515,1,1,0,0,a,Basic,3230,Central Region
25,2,2026-08-01,3509,607,1,0,0,0,b,Extra,3350,North Region
25,3,2026-08-02,8027,1093,1,0,0,0,b,Extra,3350,North Region
25,4,2026-08-03,4682,566,1,1,0,0,b,Extra,3350,North Region
25,5,2026-08-04,5846,714,1,0,0,0,b,Extra,3350,North Region
25,6,2026-08-05,3515,406,1,0,0,0,b,Extra,3350,North Region
25,7,2026-08-06,6825,816,1,1,0,0,b,Extra,3350,North Region
25,1,2026-08-07,6412,1089,1,0,0,0,b,Extra,3350,North Region
25,2,2026-08-08,6064,662,1,0,0,0,b,Extra,3350,North Region
25,3,2026-08-09,4871,628,1,1,0,0,b,Extra,3350,North Region
25,4,2026-08-10,10361,1095,1,0,0,0,b,Extra,3350,North Region
26,2,2026-08-01,7229,837,1,1,0,0,c,Extended,3470,South Region
26,3,2026-08-02,6731,766,1,1,0,0,c,Extended,3470,South Region
26,4,2026-08-03,6238,861,1,1,0,0,c,Extended,3470,South Region
26,5,2026-08-04,6900,809,1,1,0,0,c,Extended,3470,South Region
26,6,2026-08-05,5337,686,1,1,0,0,c,Extended,3470,South Region
26,7,2026-08-06,7012,893,1,1,0,0,c,Extended,3470,South Region
26,1,2026-08-07,3572,541,1,1,0,0,c,Extended,3470,South Region
26,2,2026-08-08,5804,966,1,1,0,0,c,Extended,3470,South Region
26,3,2026-08-09,9461,1025,1,1,0,0,c,Extended,3470,South Region
26,4,2026-08-10,6172,732,1,1,0,0,c,Extended,3470,South Region
27,2,2026-08-01,9225,1048,1,0,0,0,d,Basic,3590,East Region
27,3,2026-08-02,3045,421,1,0,0,0,d,Basic,3590,East Region
27,4,2026-08-03,3072,437,1,1,0,0,d,Basic,3590,East Region
27,5,2026-08-04,6082,754,1,0,0,0,d,Basic,3590,East Region
27,6,2026-08-05,5497,997,1,0,0,0,d,Basic,3590,East Region
27,7,2026-08-06,4896,624,1,1,0,0,d,Basic,3590,East Region
27,1,2026-08-07,5459,700,1,0,0,0,d,Basic,3590,East Region
27,2,2026-08-08,7833,1056,1,0,0,0,d,Basic,3590,East Region
27,3,2026-08-09,4243,771,1,1,0,0,d,Basic,3590,East Region
27,4,2026-08-10,6417,803,1,0,0,0,d,Basic,3590,East Region
28,2,2026-08-01,6990,838,1,1,0,0,a,Extra,3710,West Region
28,3,2026-08-02,4777,627,1,1,0,0,a,Extra,3710,West Region
28,4,2026-08-03,3563,413,1,1,0,0,a,Extra,3710,West Region
28,5,2026-08-04,7463,959,1,1,0,0,a,Extra,3710,West Region
28,6,2026-08-05,8478,985,1,1,0,0,a,Extra,3710,West Region
28,7,2026-08-06,7036,806,1,1,0,0,a,Extra,3710,West Region
28,1,2026-08-07,5423,586,1,1,0,0,a,Extra,3710,West Region
28,2,2026-08-08,3769,476,1,1,0,0,a,Extra,3710,West Region
28,3,2026-08-09,4702,645,1,1,0,0,a,Extra,3710,West Region
28,4,2026-08-10,6785,1123,1,1,0,0,a,Extra,3710,West Region
29,2,2026-08-01,3155,498,1,0,0,0,b,Extended,3830,Central Region
29,3,2026-08-02,4904,780,1,0,0,0,b,Extended,3830,Central Region
29,4,2026-08-03,4290,545,1,1,0,0,b,Extended,3830,Central Region
29,5,2026-08-04,8179,938,1,0,0,0,b,Extended,3830,Central Region
29,6,2026-08-05,8498,1189,1,0,0,0,b,Extended,3830,Central Region
29,7,2026-08-06,5133,818,1,1,0,0,b,Extended,3830,Central Region
29,1,2026-08-07,3058,449,1,0,0,0,b,Extended,3830,Central Region
29,2,2026-08-08,4203,602,1,0,0,0,b,Extended,3830,Central Region
29,3,2026-08-09,9088,979,1,1,0,0,b,Extended,3830,Central Region
29,4,2026-08-10,8807,954,1,0,0,0,b,Extended,3830,Central Region
30,2,2026-08-01,9713,1086,1,1,0,0,c,Basic,3950,North Region
30,3,2026-08-02,7034,929,1,1,0,0,c,Basic,3950,North Region
30,4,2026-08-03,7536,1121,1,1,0,0,c,Basic,3950,North Region
30,5,2026-08-04,4775,722,1,1,0,0,c,Basic,3950,North Region
30,6,2026-08-05,7586,1168,1,1,0,0,c,Basic,3950,North Region
30,7,2026-08-06,4222,703,1,1,0,0,c,Basic,3950,North Region
30,1,2026-08-07,4934,854,1,1,0,0,c,Basic,3950,North Region
30,2,2026-08-08,6210,835,1,1,0,0,c,Basic,3950,North Region
30,3,2026-08-09,7214,1019,1,1,0,0,c,Basic,3950,North Region
30,4,2026-08-10,8315,1038,1,1,0,0,c,Basic,3950,North Region
31,2,2026-08-01,7935,1085,1,0,0,0,d,Extra,4070,South Region
31,3,2026-08-02,5500,612,1,0,0,0,d,Extra,4070,South Region
31,4,2026-08-03,5815,750,1,1,0,0,d,Extra,4070,South Region
31,5,2026-08-04,5014,719,1,0,0,0,d,Extra,4070,South Region
31,6,2026-08-05,3714,641,1,0,0,0,d,Extra,4070,South Region
31,7,2026-08-06,7273,865,1,1,0,0,d,Extra,4070,South Region
31,1,2026-08-07,3744,488,1,0,0,0,d,Extra,4070,South Region
31,2,2026-08-08,3580,516,1,0,0,0,d,Extra,4070,South Region
31,3,2026-08-09,7323,899,1,1,0,0,d,Extra,4070,South Region
31,4,2026-08-10,5656,710,1,0,0,0,d,Extra,4070,South Region
32,2,2026-08-01,5102,578,1,1,0,0,a,Extended,4190,East Region
32,3,2026-08-02,7494,840,1,1,0,0,a,Extended,4190,East Region
32,4,2026-08-03,4563,674,1,1,0,0,a,Extended,4190,East Region
32,5,2026-08-04,9535,1010,1,1,0,0,a,Extended,4190,East Region
32,6,2026-08-05,9173,1174,1,1,0,0,a,Extended,4190,East Region
32,7,2026-08-06,3587,637,1,1,0,0,a,Extended,4190,East Region
32,1,2026-08-07,7310,1142,1,1,0,0,a,Extended,4190,East Region
32,2,2026-08-08,2838,487,1,1,0,0,a,Extended,4190,East Region
32,3,2026-08-09,5798,767,1,1,0,0,a,Extended,4190,East Region
32,4,2026-08-10,4615,700,1,1,0,0,a,Extended,4190,East Region
33,2,2026-08-01,5387,774,1,0,0,0,b,Basic,4310,West Region
33,3,2026-08-02,8449,997,1,0,0,0,b,Basic,4310,West Region
33,4,2026-08-03,11052,1181,1,1,0,0,b,Basic,4310,West Region
33,5,2026-08-04,5806,625,1,0,0,0,b,Basic,4310,West Region
33,6,2026-08-05,4320,659,1,0,0,0,b,Basic,4310,West Region
33,7,2026-08-06,8953,991,1,1,0,0,b,Basic,4310,West Region
33,1,2026-08-07,6143,1040,1,0,0,0,b,Basic,4310,West Region
33,2,2026-08-08,4249,527,1,0,0,0,b,Basic,4310,West Region
33,3,2026-08-09,4344,751,1,1,0,0,b,Basic,4310,West Region
33,4,2026-08-10,7253,1034,1,0,0,0,b,Basic,4310,West Region
34,2,2026-08-01,7302,1129,1,1,0,0,c,Extra,4430,Central Region
34,3,2026-08-02,9125,1110,1,1,0,0,c,Extra,4430,Central Region
34,4,2026-08-03,3170,456,1,1,0,0,c,Extra,4430,Central Region
34,5,2026-08-04,3293,494,1,1,0,0,c,Extra,4430,Central Region
34,6,2026-08-05,5894,1063,1,1,0,0,c,Extra,4430,Central Region
34,7,2026-08-06,4506,563,1,1,0,0,c,Extra,4430,Central Region
34,1,2026-08-07,6400,735,1,1,0,0,c,Extra,4430,Central Region
34,2,2026-08-08,6146,889,1,1,0,0,c,Extra,4430,Central Region
34,3,2026-08-09,8569,1030,1,1,0,0,c,Extra,4430,Central Region
34,4,2026-08-10,4098,618,1,1,0,0,c,Extra,4430,Central Region
35,2,2026-08-01,5668,625,1,0,0,0,d,Extended,4550,North Region
35,3,2026-08-02,5665,860,1,0,0,0,d,Extended,4550,North Region
35,4,2026-08-03,2449,435,1,1,0,0,d,Extended,4550,North Region
35,5,2026-08-04,10211,1081,1,0,0,0,d,Extended,4550,North Region
35,6,2026-08-05,4188,743,1,0,0,0,d,Extended,4550,North Region
35,7,2026-08-06,5459,577,1,1,0,0,d,Extended,4550,North Region
35,1,2026-08-07,6235,676,1,0,0,0,d,Extended,4550,North Region
35,2,2026-08-08,4289,580,1,0,0,0,d,Extended,4550,North Region
35,3,2026-08-09,2736,418,1,1,0,0,d,Extended,4550,North Region
35,4,2026-08-10,3335,472,1,0,0,0,d,Extended,4550,North Region
36,2,2026-08-01,7685,896,1,1,0,0,a,Basic,4670,South Region
36,3,2026-08-02,5235,678,1,1,0,0,a,Basic,4670,South Region
36,4,2026-08-03,8433,1079,1,1,0,0,a,Basic,4670,South Region
36,5,2026-08-04,5785,884,1,1,0,0,a,Basic,4670,South Region
36,6,2026-08-05,5117,812,1,1,0,0,a,Basic,4670,South Region
36,7,2026-08-06,9004,1067,1,1,0,0,a,Basic,4670,South Region
36,1,2026-08-07,5289,726,1,1,0,0,a,Basic,4670,South Region
36,2,2026-08-08,6555,769,1,1,0,0,a,Basic,4670,South Region
36,3,2026-08-09,6358,835,1,1,0,0,a,Basic,4670,South Region
36,4,2026-08-10,3844,520,1,1,0,0,a,Basic,4670,South Region
37,2,2026-08-01,4696,825,1,0,0,0,b,Extra,4790,East Region
37,3,2026-08-02,3834,465,1,0,0,0,b,Extra,4790,East Region
37,4,2026-08-03,5949,681,1,1,0,0,b,Extra,4790,East Region
37,5,2026-08-04,7298,888,1,0,0,0,b,Extra,4790,East Region
37,6,2026-08-05,3643,612,1,0,0,0,b,Extra,4790,East Region
37,7,2026-08-06,4945,818,1,1,0,0,b,Extra,4790,East Region
37,1,2026-08-07,5303,654,1,0,0,0,b,Extra,4790,East Region
37,2,2026-08-08,5844,932,1,0,0,0,b,Extra,4790,East Region
37,3,2026-08-09,5407,979,1,1,0,0,b,Extra,4790,East Region
37,4,2026-08-10,4501,694,1,0,0,0,b,Extra,4790,East Region
38,2,2026-08-01,8211,985,1,1,0,0,c,Extended,4910,West Region
