Stage1_Customer_ID,Stage1_Customer_Segment,Stage1_Region,Stage1_Avg_Order_Value,Stage2_Total_Orders,Stage2_Last_Purchase_Days_Ago,Stage2_Preferred_Category,Stage2_Past_Spend_Total,Stage3_Product_ID,Stage3_Product_Name,Stage3_Product_Category,Stage3_Category_Affinity_Score,Stage4_Discount_Sensitivity,Stage4_Estimated_Redemption_Rate,Stage4_Proposed_Discount_Pct,Stage5_Regional_Demand_Index,Stage5_Projected_Promo_Demand_Units,Stage6_Store_Stock_Qty,Stage6_Days_Of_Supply,Stage6_Stockout_Risk_Flag,Stage7_Base_Price,Stage7_Post_Discount_Price,Stage7_Margin_Pct_After_Discount,Stage7_Projected_Margin_Dollars,Stage7_Margin_Risk_Flag,Stage8_Promotion_Fit_Score,Stage8_Risk_Level,Stage8_Risk_Badge,Stage8_AI_Why_Rationale
CUST_PL_1011,"Bargain Hunters","South Region",79,21,6,"Beauty & Care",1659,"prod_skincare_bundle","Hydrating Botanical Skincare Trio Bundle","Beauty & Care",92%,92%,42.1%,15%,1.45,505,450,42,TRUE,78,66.3,50.6%,16938,FALSE,76,"STOCKOUT_RISK","🔴 Stockout Risk","🔴 Operational Risk: Inventory Stockout & Supply Chain Fulfillment Shortfall: Available store inventory (450 units) is lower than projected promotional demand (505 units). Running this promotion at 20% discount risks 100% stock depletion and fulfillment failure. Reorder lead time is 5 days. Operational Action Required: Reduce discount depth by 5-10% to curb excess demand, or reallocate 150+ units from adjacent regional warehouse prior to launch."
CUST_PL_1012,"High-Value VIP Loyalists","East Region",252,23,42,"Outdoor Gear",5796,"prod_hair_dryer_styler","Ionic Hair Dryer & Multi-Styler Wand","Beauty & Care",92%,25%,36.7%,30%,1.45,165,35,6,TRUE,160,112,28.6%,5280,FALSE,62,"STOCKOUT_RISK","🔴 Stockout Risk","🔴 Operational Risk: Inventory Stockout & Supply Chain Fulfillment Shortfall: Available store inventory (35 units) is lower than projected promotional demand (165 units). Running this promotion at 20% discount risks 100% stock depletion and fulfillment failure. Reorder lead time is 5 days. Operational Action Required: Reduce discount depth by 5-10% to curb excess demand, or reallocate 150+ units from adjacent regional warehouse prior to launch."
CUST_PL_1013,"Tech & Trendsetters","West Region",208,24,21,"Home Goods",4992,"prod_camping_tent","All-Weather 4-Person Camping Tent","Outdoor Gear",35%,38%,21.8%,15%,1.45,169,450,42,FALSE,320,272,41.2%,18928,FALSE,62,"HEALTHY","🟢 Healthy Stock","Recommended for Tech & Trendsetters in West Region: Driven by high category affinity (+25%) for Outdoor Gear, a regional demand index of 1.45x in West Region, and historical redemption conversion (+37%). Projected to generate +₹45,968 in incremental revenue while preserving ₹18,928 in margin dollars (41.2% post-discount margin)."
CUST_PL_1014,"Seasonal Home Organizers","Central Region",124,26,18,"Outdoor Gear",3224,"prod_hydration_flask","Insulated Stainless Steel Hydration Flask","Outdoor Gear",92%,65%,39.5%,20%,1.45,474,450,42,TRUE,42,33.6,52.5%,8361,FALSE,74,"STOCKOUT_RISK","🔴 Stockout Risk","🔴 Operational Risk: Inventory Stockout & Supply Chain Fulfillment Shortfall: Available store inventory (450 units) is lower than projected promotional demand (474 units). Running this promotion at 20% discount risks 100% stock depletion and fulfillment failure. Reorder lead time is 5 days. Operational Action Required: Reduce discount depth by 5-10% to curb excess demand, or reallocate 150+ units from adjacent regional warehouse prior to launch."
CUST_PL_1015,"Urban Fitness Enthusiasts","North Region",135,27,28,"Outdoor Gear",3645,"prod_smartwatch_pro","Pro Performance Smartwatch","Electronics",92%,45%,38.1%,25%,1.45,429,35,6,TRUE,240,180,36%,27799,FALSE,65,"STOCKOUT_RISK","🔴 Stockout Risk","🔴 Operational Risk: Inventory Stockout & Supply Chain Fulfillment Shortfall: Available store inventory (35 units) is lower than projected promotional demand (429 units). Running this promotion at 20% discount risks 100% stock depletion and fulfillment failure. Reorder lead time is 5 days. Operational Action Required: Reduce discount depth by 5-10% to curb excess demand, or reallocate 150+ units from adjacent regional warehouse prior to launch."
CUST_PL_1016,"Bargain Hunters","South Region",69,29,6,"Home Goods",2001,"prod_earbuds_wireless","Noise-Cancelling Wireless Earbuds","Electronics",35%,92%,38.3%,30%,1.45,460,450,42,TRUE,180,126,-17.1%,-9936,TRUE,52,"MARGIN_RISK","🔴 Stockout Risk","🟠 Operational Risk: Post-Discount Margin Floor Breach: Proposed discount depth reduces post-promo margin to -17.1%, dropping below our mandatory 15% company margin floor threshold. Risk of profit cannibalization. Operational Action Required: Cap maximum discount depth at 15% or require explicit sign-off from Category Lead Sravanthi."
CUST_PL_1017,"High-Value VIP Loyalists","East Region",242,30,42,"Beauty & Care",7260,"prod_coffee_roast","Organic Dark Roast Gourmet Coffee","Home Goods",35%,25%,19.5%,15%,1.45,88,450,42,FALSE,150,127.5,21.5%,2416,FALSE,57,"HEALTHY","🟢 Healthy Stock","Recommended for High-Value VIP Loyalists in East Region: Driven by high category affinity (+25%) for Home Goods, a regional demand index of 1.45x in East Region, and historical redemption conversion (+31%). Projected to generate +₹11,220 in incremental revenue while preserving ₹2,416 in margin dollars (21.5% post-discount margin)."
CUST_PL_1018,"Tech & Trendsetters","West Region",198,32,21,"Electronics",6336,"prod_running_shoes_apex","Apex Trail Running Shoes","Footwear",35%,38%,26.3%,25%,1.45,204,35,6,TRUE,150,112.5,30.7%,7038,FALSE,45,"STOCKOUT_RISK","🔴 Stockout Risk","🔴 Operational Risk: Inventory Stockout & Supply Chain Fulfillment Shortfall: Available store inventory (35 units) is lower than projected promotional demand (204 units). Running this promotion at 20% discount risks 100% stock depletion and fulfillment failure. Reorder lead time is 5 days. Operational Action Required: Reduce discount depth by 5-10% to curb excess demand, or reallocate 150+ units from adjacent regional warehouse prior to launch."
CUST_PL_1019,"Seasonal Home Organizers","Central Region",114,33,18,"Beauty & Care",3762,"prod_hiking_boots","All-Terrain Waterproof Hiking Boots","Footwear",35%,65%,26.7%,15%,1.45,320,450,42,FALSE,185,157.25,43.5%,21904,FALSE,60,"HEALTHY","🟢 Healthy Stock","Recommended for Seasonal Home Organizers in Central Region: Driven by high category affinity (+25%) for Footwear, a regional demand index of 1.45x in Central Region, and historical redemption conversion (+51%). Projected to generate +₹50,320 in incremental revenue while preserving ₹21,904 in margin dollars (43.5% post-discount margin)."
CUST_PL_1020,"Urban Fitness Enthusiasts","North Region",140,35,28,"Footwear",4900,"prod_casual_sneakers","Classic Organic Canvas Sneakers","Footwear",92%,45%,40.4%,30%,1.45,455,450,42,TRUE,85,59.5,21.4%,5801,FALSE,69,"STOCKOUT_RISK","🔴 Stockout Risk","🔴 Operational Risk: Inventory Stockout & Supply Chain Fulfillment Shortfall: Available store inventory (450 units) is lower than projected promotional demand (455 units). Running this promotion at 20% discount risks 100% stock depletion and fulfillment failure. Reorder lead time is 5 days. Operational Action Required: Reduce discount depth by 5-10% to curb excess demand, or reallocate 150+ units from adjacent regional warehouse prior to launch."
CUST_PL_1021,"Bargain Hunters","South Region",74,36,6,"Apparel",2664,"prod_winter_parka","UltraWarm Waterproof Winter Parka","Apparel",92%,92%,46.6%,25%,1.45,559,35,6,TRUE,280,210,40%,46956,FALSE,70,"STOCKOUT_RISK","🔴 Stockout Risk","🔴 Operational Risk: Inventory Stockout & Supply Chain Fulfillment Shortfall: Available store inventory (35 units) is lower than projected promotional demand (559 units). Running this promotion at 20% discount risks 100% stock depletion and fulfillment failure. Reorder lead time is 5 days. Operational Action Required: Reduce discount depth by 5-10% to curb excess demand, or reallocate 150+ units from adjacent regional warehouse prior to launch."
CUST_PL_1022,"High-Value VIP Loyalists","East Region",247,38,42,"Apparel",9386,"prod_leather_jacket","Premium Italian Napa Leather Jacket","Apparel",92%,25%,32.2%,20%,1.45,145,450,42,FALSE,340,272,50%,19720,FALSE,81,"HEALTHY","🟢 Healthy Stock","Recommended for High-Value VIP Loyalists in East Region: Driven by high category affinity (+95%) for Apparel, a regional demand index of 1.45x in East Region, and historical redemption conversion (+37%). Projected to generate +₹39,440 in incremental revenue while preserving ₹19,720 in margin dollars (50.0% post-discount margin)."
CUST_PL_1023,"Tech & Trendsetters","West Region",203,39,21,"Home Goods",7917,"prod_yoga_activewear_set","Luxe Breathable Yoga Activewear Set","Apparel",35%,38%,21.8%,15%,1.45,169,450,42,FALSE,95,80.75,50.6%,6904,FALSE,64,"HEALTHY","🟢 Healthy Stock","Recommended for Tech & Trendsetters in West Region: Driven by high category affinity (+25%) for Apparel, a regional demand index of 1.45x in West Region, and historical redemption conversion (+37%). Projected to generate +₹13,647 in incremental revenue while preserving ₹6,904 in margin dollars (50.6% post-discount margin)."
CUST_PL_1024,"Seasonal Home Organizers","Central Region",119,41,18,"Home Goods",4879,"prod_office_chair","Ergonomic Mesh Executive Chair","Home Goods",92%,65%,43.9%,30%,1.45,527,35,6,TRUE,210,147,17.1%,13280,FALSE,64,"STOCKOUT_RISK","🔴 Stockout Risk","🔴 Operational Risk: Inventory Stockout & Supply Chain Fulfillment Shortfall: Available store inventory (35 units) is lower than projected promotional demand (527 units). Running this promotion at 20% discount risks 100% stock depletion and fulfillment failure. Reorder lead time is 5 days. Operational Action Required: Reduce discount depth by 5-10% to curb excess demand, or reallocate 150+ units from adjacent regional warehouse prior to launch."
CUST_PL_1025,"Urban Fitness Enthusiasts","North Region",145,42,28,"Apparel",6090,"prod_espresso_maker","Compact Artisan Espresso Machine","Home Goods",35%,45%,23.1%,15%,1.45,260,450,42,FALSE,260,221,38.8%,22308,FALSE,62,"HEALTHY","🟢 Healthy Stock","Recommended for Urban Fitness Enthusiasts in North Region: Driven by high category affinity (+25%) for Home Goods, a regional demand index of 1.45x in North Region, and historical redemption conversion (+41%). Projected to generate +₹57,460 in incremental revenue while preserving ₹22,308 in margin dollars (38.8% post-discount margin)."
CUST_PL_1026,"Bargain Hunters","South Region",79,44,6,"Beauty & Care",3476,"prod_dutch_oven","Enameled Cast Iron Dutch Oven Set","Home Goods",92%,92%,44.3%,20%,1.45,532,450,42,TRUE,140,112,37.5%,22344,FALSE,74,"STOCKOUT_RISK","🔴 Stockout Risk","🔴 Operational Risk: Inventory Stockout & Supply Chain Fulfillment Shortfall: Available store inventory (450 units) is lower than projected promotional demand (532 units). Running this promotion at 20% discount risks 100% stock depletion and fulfillment failure. Reorder lead time is 5 days. Operational Action Required: Reduce discount depth by 5-10% to curb excess demand, or reallocate 150+ units from adjacent regional warehouse prior to launch."
CUST_PL_1027,"High-Value VIP Loyalists","East Region",252,5,42,"Outdoor Gear",1260,"prod_robot_vacuum","Smart Navigation Robot Vacuum Cleaner","Home Goods",35%,25%,24%,25%,1.45,108,35,6,TRUE,310,232.5,30.7%,7700,FALSE,44,"STOCKOUT_RISK","🔴 Stockout Risk","🔴 Operational Risk: Inventory Stockout & Supply Chain Fulfillment Shortfall: Available store inventory (35 units) is lower than projected promotional demand (108 units). Running this promotion at 20% discount risks 100% stock depletion and fulfillment failure. Reorder lead time is 5 days. Operational Action Required: Reduce discount depth by 5-10% to curb excess demand, or reallocate 150+ units from adjacent regional warehouse prior to launch."
CUST_PL_1028,"Tech & Trendsetters","West Region",208,7,21,"Electronics",1456,"prod_skincare_bundle","Hydrating Botanical Skincare Trio Bundle","Beauty & Care",35%,38%,28.6%,30%,1.45,222,450,42,FALSE,78,54.6,40%,4848,FALSE,65,"HEALTHY","🟢 Healthy Stock","Recommended for Tech & Trendsetters in West Region: Driven by high category affinity (+25%) for Beauty & Care, a regional demand index of 1.45x in West Region, and historical redemption conversion (+55%). Projected to generate +₹12,121 in incremental revenue while preserving ₹4,848 in margin dollars (40.0% post-discount margin)."
CUST_PL_1029,"Seasonal Home Organizers","Central Region",124,8,18,"Outdoor Gear",992,"prod_hair_dryer_styler","Ionic Hair Dryer & Multi-Styler Wand","Beauty & Care",92%,65%,37.2%,15%,1.45,446,450,42,FALSE,160,136,41.2%,24976,FALSE,77,"TIGHT_STOCK","🟡 Tight Stock","🟢 Zero Operational Risk: Supply Chain & Margin Confirmed: Confirmed robust inventory position (450 units, 42 days of supply) to comfortably support the 446-unit demand surge. Post-discount margin of 41.2% comfortably exceeds our company 15% floor. Proceed with campaign launch and automated cross-channel promotion."
CUST_PL_1030,"Urban Fitness Enthusiasts","North Region",135,10,28,"Electronics",1350,"prod_camping_tent","All-Weather 4-Person Camping Tent","Outdoor Gear",92%,45%,38.1%,25%,1.45,429,35,6,TRUE,320,240,33.3%,34320,FALSE,64,"STOCKOUT_RISK","🔴 Stockout Risk","🔴 Operational Risk: Inventory Stockout & Supply Chain Fulfillment Shortfall: Available store inventory (35 units) is lower than projected promotional demand (429 units). Running this promotion at 20% discount risks 100% stock depletion and fulfillment failure. Reorder lead time is 5 days. Operational Action Required: Reduce discount depth by 5-10% to curb excess demand, or reallocate 150+ units from adjacent regional warehouse prior to launch."
CUST_PL_1031,"Bargain Hunters","South Region",69,11,6,"Home Goods",759,"prod_hydration_flask","Insulated Stainless Steel Hydration Flask","Outdoor Gear",35%,92%,31.6%,15%,1.45,379,450,42,FALSE,42,35.7,55.3%,7481,FALSE,64,"TIGHT_STOCK","🟡 Tight Stock","🟢 Zero Operational Risk: Supply Chain & Margin Confirmed: Confirmed robust inventory position (450 units, 42 days of supply) to comfortably support the 379-unit demand surge. Post-discount margin of 55.3% comfortably exceeds our company 15% floor. Proceed with campaign launch and automated cross-channel promotion."
CUST_PL_1032,"High-Value VIP Loyalists","East Region",242,13,42,"Beauty & Care",3146,"prod_smartwatch_pro","Pro Performance Smartwatch","Electronics",35%,25%,26.3%,30%,1.45,118,450,42,FALSE,240,168,31.4%,6230,FALSE,62,"HEALTHY","🟢 Healthy Stock","Recommended for High-Value VIP Loyalists in East Region: Driven by high category affinity (+25%) for Electronics, a regional demand index of 1.45x in East Region, and historical redemption conversion (+49%). Projected to generate +₹19,824 in incremental revenue while preserving ₹6,230 in margin dollars (31.4% post-discount margin)."
CUST_PL_1033,"Tech & Trendsetters","West Region",198,14,21,"Home Goods",2772,"prod_earbuds_wireless","Noise-Cancelling Wireless Earbuds","Electronics",92%,38%,36.8%,25%,1.45,285,35,6,TRUE,180,135,-9.3%,-3591,TRUE,57,"MARGIN_RISK","🔴 Stockout Risk","🟠 Operational Risk: Post-Discount Margin Floor Breach: Proposed discount depth reduces post-promo margin to -9.3%, dropping below our mandatory 15% company margin floor threshold. Risk of profit cannibalization. Operational Action Required: Cap maximum discount depth at 15% or require explicit sign-off from Category Lead Sravanthi."
CUST_PL_1034,"Seasonal Home Organizers","Central Region",114,16,18,"Beauty & Care",1824,"prod_coffee_roast","Organic Dark Roast Gourmet Coffee","Home Goods",92%,65%,39.5%,20%,1.45,474,450,42,TRUE,150,120,16.6%,9456,FALSE,68,"STOCKOUT_RISK","🔴 Stockout Risk","🔴 Operational Risk: Inventory Stockout & Supply Chain Fulfillment Shortfall: Available store inventory (450 units) is lower than projected promotional demand (474 units). Running this promotion at 20% discount risks 100% stock depletion and fulfillment failure. Reorder lead time is 5 days. Operational Action Required: Reduce discount depth by 5-10% to curb excess demand, or reallocate 150+ units from adjacent regional warehouse prior to launch."
CUST_PL_1035,"Urban Fitness Enthusiasts","North Region",140,17,28,"Outdoor Gear",2380,"prod_running_shoes_apex","Apex Trail Running Shoes","Footwear",92%,45%,33.6%,15%,1.45,378,450,42,FALSE,150,127.5,38.8%,18711,FALSE,75,"TIGHT_STOCK","🟡 Tight Stock","🟢 Zero Operational Risk: Supply Chain & Margin Confirmed: Confirmed robust inventory position (450 units, 42 days of supply) to comfortably support the 378-unit demand surge. Post-discount margin of 38.8% comfortably exceeds our company 15% floor. Proceed with campaign launch and automated cross-channel promotion."
CUST_PL_1036,"Bargain Hunters","South Region",74,19,6,"Apparel",1406,"prod_hiking_boots","All-Terrain Waterproof Hiking Boots","Footwear",35%,92%,38.3%,30%,1.45,460,35,6,TRUE,185,129.5,31.4%,18722,FALSE,52,"STOCKOUT_RISK","🔴 Stockout Risk","🔴 Operational Risk: Inventory Stockout & Supply Chain Fulfillment Shortfall: Available store inventory (35 units) is lower than projected promotional demand (460 units). Running this promotion at 20% discount risks 100% stock depletion and fulfillment failure. Reorder lead time is 5 days. Operational Action Required: Reduce discount depth by 5-10% to curb excess demand, or reallocate 150+ units from adjacent regional warehouse prior to launch."
CUST_PL_1037,"High-Value VIP Loyalists","East Region",247,20,42,"Apparel",4940,"prod_casual_sneakers","Classic Organic Canvas Sneakers","Footwear",35%,25%,19.5%,15%,1.45,88,450,42,FALSE,85,72.25,35.3%,2244,FALSE,60,"HEALTHY","🟢 Healthy Stock","Recommended for High-Value VIP Loyalists in East Region: Driven by high category affinity (+25%) for Footwear, a regional demand index of 1.45x in East Region, and historical redemption conversion (+31%). Projected to generate +₹6,358 in incremental revenue while preserving ₹2,244 in margin dollars (35.3% post-discount margin)."
CUST_PL_1038,"Tech & Trendsetters","West Region",203,22,21,"Electronics",4466,"prod_winter_parka","UltraWarm Waterproof Winter Parka","Apparel",35%,38%,24.1%,20%,1.45,187,450,42,FALSE,280,224,43.8%,18326,FALSE,64,"HEALTHY","🟢 Healthy Stock","Recommended for Tech & Trendsetters in West Region: Driven by high category affinity (+25%) for Apparel, a regional demand index of 1.45x in West Region, and historical redemption conversion (+43%). Projected to generate +₹41,888 in incremental revenue while preserving ₹18,326 in margin dollars (43.8% post-discount margin)."
CUST_PL_1039,"Seasonal Home Organizers","Central Region",119,23,18,"Home Goods",2737,"prod_leather_jacket","Premium Italian Napa Leather Jacket","Apparel",35%,65%,31.2%,25%,1.45,374,35,6,TRUE,340,255,46.7%,44506,FALSE,51,"STOCKOUT_RISK","🔴 Stockout Risk","🔴 Operational Risk: Inventory Stockout & Supply Chain Fulfillment Shortfall: Available store inventory (35 units) is lower than projected promotional demand (374 units). Running this promotion at 20% discount risks 100% stock depletion and fulfillment failure. Reorder lead time is 5 days. Operational Action Required: Reduce discount depth by 5-10% to curb excess demand, or reallocate 150+ units from adjacent regional warehouse prior to launch."
CUST_PL_1040,"Urban Fitness Enthusiasts","North Region",145,25,28,"Footwear",3625,"prod_yoga_activewear_set","Luxe Breathable Yoga Activewear Set","Apparel",92%,45%,40.4%,30%,1.45,455,450,42,TRUE,95,66.5,40%,12103,FALSE,73,"STOCKOUT_RISK","🔴 Stockout Risk","🔴 Operational Risk: Inventory Stockout & Supply Chain Fulfillment Shortfall: Available store inventory (450 units) is lower than projected promotional demand (455 units). Running this promotion at 20% discount risks 100% stock depletion and fulfillment failure. Reorder lead time is 5 days. Operational Action Required: Reduce discount depth by 5-10% to curb excess demand, or reallocate 150+ units from adjacent regional warehouse prior to launch."
CUST_PL_1041,"Bargain Hunters","South Region",79,26,6,"Beauty & Care",2054,"prod_office_chair","Ergonomic Mesh Executive Chair","Home Goods",92%,92%,42.1%,15%,1.45,505,450,42,TRUE,210,178.5,31.8%,28633,FALSE,72,"STOCKOUT_RISK","🔴 Stockout Risk","🔴 Operational Risk: Inventory Stockout & Supply Chain Fulfillment Shortfall: Available store inventory (450 units) is lower than projected promotional demand (505 units). Running this promotion at 20% discount risks 100% stock depletion and fulfillment failure. Reorder lead time is 5 days. Operational Action Required: Reduce discount depth by 5-10% to curb excess demand, or reallocate 150+ units from adjacent regional warehouse prior to launch."
CUST_PL_1042,"High-Value VIP Loyalists","East Region",252,28,42,"Outdoor Gear",7056,"prod_espresso_maker","Compact Artisan Espresso Machine","Home Goods",35%,25%,24%,25%,1.45,108,35,6,TRUE,260,195,30.7%,6458,FALSE,44,"STOCKOUT_RISK","🔴 Stockout Risk","🔴 Operational Risk: Inventory Stockout & Supply Chain Fulfillment Shortfall: Available store inventory (35 units) is lower than projected promotional demand (108 units). Running this promotion at 20% discount risks 100% stock depletion and fulfillment failure. Reorder lead time is 5 days. Operational Action Required: Reduce discount depth by 5-10% to curb excess demand, or reallocate 150+ units from adjacent regional warehouse prior to launch."
CUST_PL_1043,"Tech & Trendsetters","West Region",208,29,21,"Home Goods",6032,"prod_dutch_oven","Enameled Cast Iron Dutch Oven Set","Home Goods",92%,38%,32.3%,15%,1.45,250,450,42,FALSE,140,119,41.2%,12250,FALSE,80,"HEALTHY","🟢 Healthy Stock","Recommended for Tech & Trendsetters in West Region: Driven by high category affinity (+95%) for Home Goods, a regional demand index of 1.45x in West Region, and historical redemption conversion (+37%). Projected to generate +₹29,750 in incremental revenue while preserving ₹12,250 in margin dollars (41.2% post-discount margin)."
CUST_PL_1044,"Seasonal Home Organizers","Central Region",124,31,18,"Outdoor Gear",3844,"prod_robot_vacuum","Smart Navigation Robot Vacuum Cleaner","Home Goods",92%,65%,43.9%,30%,1.45,527,450,42,TRUE,310,217,25.7%,29407,FALSE,72,"STOCKOUT_RISK","🔴 Stockout Risk","🔴 Operational Risk: Inventory Stockout & Supply Chain Fulfillment Shortfall: Available store inventory (450 units) is lower than projected promotional demand (527 units). Running this promotion at 20% discount risks 100% stock depletion and fulfillment failure. Reorder lead time is 5 days. Operational Action Required: Reduce discount depth by 5-10% to curb excess demand, or reallocate 150+ units from adjacent regional warehouse prior to launch."
