InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,DiscountPct
5361020,85123A,"WHITE HANGING HEART T-LIGHT HOLDER",41,2026-08-13 08:26,2.55,12005,United Kingdom,20
5361021,71053,"WHITE METAL LANTERN",21,2026-08-14 08:26,3.39,12006,Germany,10
5361022,84406B,"CREAM CUPID HEARTS COAT HANGER",43,2026-08-15 08:26,2.75,12007,France,10
5361023,84029G,"KNITTED UNION FLAG HOT WATER BOTTLE",23,2026-08-16 08:26,3.39,12008,EIRE,15
5361024,22752,"SET 7 BABUSHKA NESTING BOXES",28,2026-08-17 08:26,7.65,12009,Spain,20
5361025,21730,"GLASS STAR FROSTED T-LIGHT HOLDER",28,2026-08-18 08:26,4.25,12010,Netherlands,10
5361026,22633,"HAND WARMER UNION JACK",19,2026-08-19 08:26,1.85,12011,United Kingdom,15
5361027,22632,"HAND WARMER RED RETROSPOT",8,2026-08-20 08:26,1.85,12012,Germany,10
5361028,85099B,"JUMBO BAG RED RETROSPOT",41,2026-08-21 08:26,1.95,12013,France,20
5361029,22386,"JUMBO BAG PINK POLKADOT",45,2026-08-22 08:26,1.95,12014,EIRE,15
5361030,85123A,"WHITE HANGING HEART T-LIGHT HOLDER",13,2026-08-23 08:26,2.55,12015,Spain,10
5361031,71053,"WHITE METAL LANTERN",23,2026-08-24 08:26,3.39,12016,Netherlands,10
5361032,84406B,"CREAM CUPID HEARTS COAT HANGER",51,2026-08-25 08:26,2.75,12017,United Kingdom,20
5361033,84029G,"KNITTED UNION FLAG HOT WATER BOTTLE",40,2026-08-26 08:26,3.39,12018,Germany,10
5361034,22752,"SET 7 BABUSHKA NESTING BOXES",25,2026-08-27 08:26,7.65,12019,France,10
5361035,21730,"GLASS STAR FROSTED T-LIGHT HOLDER",53,2026-08-28 08:26,4.25,12020,EIRE,15
5361036,22633,"HAND WARMER UNION JACK",32,2026-08-1 08:26,1.85,12021,Spain,20
5361037,22632,"HAND WARMER RED RETROSPOT",34,2026-08-2 08:26,1.85,12022,Netherlands,10
5361038,85099B,"JUMBO BAG RED RETROSPOT",48,2026-08-3 08:26,1.95,12023,United Kingdom,15
5361039,22386,"JUMBO BAG PINK POLKADOT",29,2026-08-4 08:26,1.95,12024,Germany,10
5361040,85123A,"WHITE HANGING HEART T-LIGHT HOLDER",11,2026-08-5 08:26,2.55,12025,France,20
5361041,71053,"WHITE METAL LANTERN",6,2026-08-6 08:26,3.39,12026,EIRE,15
5361042,84406B,"CREAM CUPID HEARTS COAT HANGER",12,2026-08-7 08:26,2.75,12027,Spain,10
5361043,84029G,"KNITTED UNION FLAG HOT WATER BOTTLE",51,2026-08-8 08:26,3.39,12028,Netherlands,10
5361044,22752,"SET 7 BABUSHKA NESTING BOXES",25,2026-08-9 08:26,7.65,12029,United Kingdom,20
5361045,21730,"GLASS STAR FROSTED T-LIGHT HOLDER",9,2026-08-10 08:26,4.25,12030,Germany,10
5361046,22633,"HAND WARMER UNION JACK",29,2026-08-11 08:26,1.85,12031,France,10
5361047,22632,"HAND WARMER RED RETROSPOT",17,2026-08-12 08:26,1.85,12032,EIRE,15
5361048,85099B,"JUMBO BAG RED RETROSPOT",7,2026-08-13 08:26,1.95,12033,Spain,20
5361049,22386,"JUMBO BAG PINK POLKADOT",29,2026-08-14 08:26,1.95,12034,Netherlands,10
5361050,85123A,"WHITE HANGING HEART T-LIGHT HOLDER",25,2026-08-15 08:26,2.55,12000,United Kingdom,15
5361051,71053,"WHITE METAL LANTERN",18,2026-08-16 08:26,3.39,12001,Germany,10
5361052,84406B,"CREAM CUPID HEARTS COAT HANGER",10,2026-08-17 08:26,2.75,12002,France,20
5361053,84029G,"KNITTED UNION FLAG HOT WATER BOTTLE",52,2026-08-18 08:26,3.39,12003,EIRE,15
5361054,22752,"SET 7 BABUSHKA NESTING BOXES",45,2026-08-19 08:26,7.65,12004,Spain,10
5361055,21730,"GLASS STAR FROSTED T-LIGHT HOLDER",19,2026-08-20 08:26,4.25,12005,Netherlands,10
5361056,22633,"HAND WARMER UNION JACK",48,2026-08-21 08:26,1.85,12006,United Kingdom,20
5361057,22632,"HAND WARMER RED RETROSPOT",11,2026-08-22 08:26,1.85,12007,Germany,10
5361058,85099B,"JUMBO BAG RED RETROSPOT",39,2026-08-23 08:26,1.95,12008,France,10
5361059,22386,"JUMBO BAG PINK POLKADOT",17,2026-08-24 08:26,1.95,12009,EIRE,15
5361060,85123A,"WHITE HANGING HEART T-LIGHT HOLDER",42,2026-08-25 08:26,2.55,12010,Spain,20
5361061,71053,"WHITE METAL LANTERN",33,2026-08-26 08:26,3.39,12011,Netherlands,10
5361062,84406B,"CREAM CUPID HEARTS COAT HANGER",12,2026-08-27 08:26,2.75,12012,United Kingdom,15
5361063,84029G,"KNITTED UNION FLAG HOT WATER BOTTLE",7,2026-08-28 08:26,3.39,12013,Germany,10
5361064,22752,"SET 7 BABUSHKA NESTING BOXES",14,2026-08-1 08:26,7.65,12014,France,20
5361065,21730,"GLASS STAR FROSTED T-LIGHT HOLDER",46,2026-08-2 08:26,4.25,12015,EIRE,15
5361066,22633,"HAND WARMER UNION JACK",28,2026-08-3 08:26,1.85,12016,Spain,10
5361067,22632,"HAND WARMER RED RETROSPOT",34,2026-08-4 08:26,1.85,12017,Netherlands,10
5361068,85099B,"JUMBO BAG RED RETROSPOT",13,2026-08-5 08:26,1.95,12018,United Kingdom,20
5361069,22386,"JUMBO BAG PINK POLKADOT",33,2026-08-6 08:26,1.95,12019,Germany,10
5361070,85123A,"WHITE HANGING HEART T-LIGHT HOLDER",29,2026-08-7 08:26,2.55,12020,France,10
5361071,71053,"WHITE METAL LANTERN",26,2026-08-8 08:26,3.39,12021,EIRE,15
5361072,84406B,"CREAM CUPID HEARTS COAT HANGER",20,2026-08-9 08:26,2.75,12022,Spain,20
5361073,84029G,"KNITTED UNION FLAG HOT WATER BOTTLE",44,2026-08-10 08:26,3.39,12023,Netherlands,10
5361074,22752,"SET 7 BABUSHKA NESTING BOXES",8,2026-08-11 08:26,7.65,12024,United Kingdom,15
5361075,21730,"GLASS STAR FROSTED T-LIGHT HOLDER",28,2026-08-12 08:26,4.25,12025,Germany,10
5361076,22633,"HAND WARMER UNION JACK",32,2026-08-13 08:26,1.85,12026,France,20
5361077,22632,"HAND WARMER RED RETROSPOT",40,2026-08-14 08:26,1.85,12027,EIRE,15
5361078,85099B,"JUMBO BAG RED RETROSPOT",24,2026-08-15 08:26,1.95,12028,Spain,10
5361079,22386,"JUMBO BAG PINK POLKADOT",32,2026-08-16 08:26,1.95,12029,Netherlands,10
5361080,85123A,"WHITE HANGING HEART T-LIGHT HOLDER",22,2026-08-17 08:26,2.55,12030,United Kingdom,20
5361081,71053,"WHITE METAL LANTERN",53,2026-08-18 08:26,3.39,12031,Germany,10
5361082,84406B,"CREAM CUPID HEARTS COAT HANGER",46,2026-08-19 08:26,2.75,12032,France,10
5361083,84029G,"KNITTED UNION FLAG HOT WATER BOTTLE",30,2026-08-20 08:26,3.39,12033,EIRE,15
5361084,22752,"SET 7 BABUSHKA NESTING BOXES",16,2026-08-21 08:26,7.65,12034,Spain,20
5361085,21730,"GLASS STAR FROSTED T-LIGHT HOLDER",38,2026-08-22 08:26,4.25,12000,Netherlands,10
5361086,22633,"HAND WARMER UNION JACK",31,2026-08-23 08:26,1.85,12001,United Kingdom,15
5361087,22632,"HAND WARMER RED RETROSPOT",30,2026-08-24 08:26,1.85,12002,Germany,10
5361088,85099B,"JUMBO BAG RED RETROSPOT",32,2026-08-25 08:26,1.95,12003,France,20
5361089,22386,"JUMBO BAG PINK POLKADOT",43,2026-08-26 08:26,1.95,12004,EIRE,15
5361090,85123A,"WHITE HANGING HEART T-LIGHT HOLDER",8,2026-08-27 08:26,2.55,12005,Spain,10
5361091,71053,"WHITE METAL LANTERN",38,2026-08-28 08:26,3.39,12006,Netherlands,10
5361092,84406B,"CREAM CUPID HEARTS COAT HANGER",12,2026-08-1 08:26,2.75,12007,United Kingdom,20
5361093,84029G,"KNITTED UNION FLAG HOT WATER BOTTLE",53,2026-08-2 08:26,3.39,12008,Germany,10
5361094,22752,"SET 7 BABUSHKA NESTING BOXES",52,2026-08-3 08:26,7.65,12009,France,10
5361095,21730,"GLASS STAR FROSTED T-LIGHT HOLDER",48,2026-08-4 08:26,4.25,12010,EIRE,15
5361096,22633,"HAND WARMER UNION JACK",26,2026-08-5 08:26,1.85,12011,Spain,20
5361097,22632,"HAND WARMER RED RETROSPOT",52,2026-08-6 08:26,1.85,12012,Netherlands,10
5361098,85099B,"JUMBO BAG RED RETROSPOT",10,2026-08-7 08:26,1.95,12013,United Kingdom,15
5361099,22386,"JUMBO BAG PINK POLKADOT",12,2026-08-8 08:26,1.95,12014,Germany,10
5361100,85123A,"WHITE HANGING HEART T-LIGHT HOLDER",29,2026-08-9 08:26,2.55,12015,France,20
5361101,71053,"WHITE METAL LANTERN",10,2026-08-10 08:26,3.39,12016,EIRE,15
5361102,84406B,"CREAM CUPID HEARTS COAT HANGER",30,2026-08-11 08:26,2.75,12017,Spain,10
5361103,84029G,"KNITTED UNION FLAG HOT WATER BOTTLE",25,2026-08-12 08:26,3.39,12018,Netherlands,10
5361104,22752,"SET 7 BABUSHKA NESTING BOXES",46,2026-08-13 08:26,7.65,12019,United Kingdom,20
5361105,21730,"GLASS STAR FROSTED T-LIGHT HOLDER",12,2026-08-14 08:26,4.25,12020,Germany,10
5361106,22633,"HAND WARMER UNION JACK",8,2026-08-15 08:26,1.85,12021,France,10
5361107,22632,"HAND WARMER RED RETROSPOT",8,2026-08-16 08:26,1.85,12022,EIRE,15
5361108,85099B,"JUMBO BAG RED RETROSPOT",49,2026-08-17 08:26,1.95,12023,Spain,20
5361109,22386,"JUMBO BAG PINK POLKADOT",23,2026-08-18 08:26,1.95,12024,Netherlands,10
5361110,85123A,"WHITE HANGING HEART T-LIGHT HOLDER",26,2026-08-19 08:26,2.55,12025,United Kingdom,15
5361111,71053,"WHITE METAL LANTERN",15,2026-08-20 08:26,3.39,12026,Germany,10
5361112,84406B,"CREAM CUPID HEARTS COAT HANGER",21,2026-08-21 08:26,2.75,12027,France,20
5361113,84029G,"KNITTED UNION FLAG HOT WATER BOTTLE",34,2026-08-22 08:26,3.39,12028,EIRE,15
5361114,22752,"SET 7 BABUSHKA NESTING BOXES",34,2026-08-23 08:26,7.65,12029,Spain,10
5361115,21730,"GLASS STAR FROSTED T-LIGHT HOLDER",49,2026-08-24 08:26,4.25,12030,Netherlands,10
5361116,22633,"HAND WARMER UNION JACK",13,2026-08-25 08:26,1.85,12031,United Kingdom,20
5361117,22632,"HAND WARMER RED RETROSPOT",25,2026-08-26 08:26,1.85,12032,Germany,10
5361118,85099B,"JUMBO BAG RED RETROSPOT",45,2026-08-27 08:26,1.95,12033,France,10
5361119,22386,"JUMBO BAG PINK POLKADOT",35,2026-08-28 08:26,1.95,12034,EIRE,15
5361120,85123A,"WHITE HANGING HEART T-LIGHT HOLDER",40,2026-08-1 08:26,2.55,12000,Spain,20
