household_key,BASKET_ID,DAY,PRODUCT_ID,Category,QUANTITY,SALES_VALUE,STORE_ID,RETAIL_DISCOUNT,COUPON_DISCOUNT
127,90027,28,5541,"ATHLETIC & WELLNESS",1,35.6,302,4.46,0
128,90028,29,7720,"SEASONAL APPAREL",3,127.81,303,16.02,0
129,90029,30,8891,"OUTDOOR & CAMPING",1,40.15,304,10.65,5
130,90030,1,9812,"GROCERY & FOOD",7,108.17,300,25.31,5
131,90031,2,1045,"BEVERAGES & JUICE",5,199.03,301,20.48,0
132,90032,3,3209,"PERSONAL CARE & BEAUTY",6,162.58,302,32.2,0
133,90033,4,5541,"ATHLETIC & WELLNESS",5,64.48,303,12.82,0
134,90034,5,7720,"SEASONAL APPAREL",7,287.62,304,34.37,0
135,90035,6,8891,"OUTDOOR & CAMPING",6,230.49,300,61,0
136,90036,7,9812,"GROCERY & FOOD",1,27.26,301,7.92,0
137,90037,8,1045,"BEVERAGES & JUICE",6,124.33,302,36.88,0
138,90038,9,3209,"PERSONAL CARE & BEAUTY",2,35.92,303,5.24,5
139,90039,10,5541,"ATHLETIC & WELLNESS",7,206.11,304,40.7,0
100,90040,11,7720,"SEASONAL APPAREL",7,285.46,300,35.86,0
101,90041,12,8891,"OUTDOOR & CAMPING",6,118.2,301,29.96,0
102,90042,13,9812,"GROCERY & FOOD",1,40.69,302,4.14,0
103,90043,14,1045,"BEVERAGES & JUICE",2,41.51,303,4.37,0
104,90044,15,3209,"PERSONAL CARE & BEAUTY",2,54.55,304,12.32,0
105,90045,16,5541,"ATHLETIC & WELLNESS",5,198.64,300,47.82,0
106,90046,17,7720,"SEASONAL APPAREL",7,232.08,301,50.72,0
107,90047,18,8891,"OUTDOOR & CAMPING",7,132.11,302,36.51,0
108,90048,19,9812,"GROCERY & FOOD",1,25.97,303,3.2,0
109,90049,20,1045,"BEVERAGES & JUICE",2,65.53,304,19.49,5
110,90050,21,3209,"PERSONAL CARE & BEAUTY",7,159.01,300,27.69,0
111,90051,22,5541,"ATHLETIC & WELLNESS",5,104.83,301,13.34,5
112,90052,23,7720,"SEASONAL APPAREL",4,142.06,302,32.79,0
113,90053,24,8891,"OUTDOOR & CAMPING",5,150.83,303,15.39,5
114,90054,25,9812,"GROCERY & FOOD",6,280.51,304,40.58,0
115,90055,26,1045,"BEVERAGES & JUICE",3,49.98,300,6.08,0
116,90056,27,3209,"PERSONAL CARE & BEAUTY",1,39,301,6.1,0
117,90057,28,5541,"ATHLETIC & WELLNESS",4,181.91,302,39.75,0
118,90058,29,7720,"SEASONAL APPAREL",3,130.78,303,31.04,5
119,90059,30,8891,"OUTDOOR & CAMPING",3,136.04,304,27.27,0
120,90060,1,9812,"GROCERY & FOOD",1,13.61,300,2.52,5
121,90061,2,1045,"BEVERAGES & JUICE",7,254.53,301,69.92,0
122,90062,3,3209,"PERSONAL CARE & BEAUTY",5,213.96,302,22.93,0
123,90063,4,5541,"ATHLETIC & WELLNESS",8,208.48,303,27.11,5
124,90064,5,7720,"SEASONAL APPAREL",3,49.85,304,6.1,0
125,90065,6,8891,"OUTDOOR & CAMPING",4,148.23,300,30.48,0
126,90066,7,9812,"GROCERY & FOOD",2,27.21,301,6.67,0
127,90067,8,1045,"BEVERAGES & JUICE",6,122.48,302,14.07,0
128,90068,9,3209,"PERSONAL CARE & BEAUTY",6,138.48,303,32.45,0
129,90069,10,5541,"ATHLETIC & WELLNESS",6,247.92,304,26.72,0
130,90070,11,7720,"SEASONAL APPAREL",8,291.04,300,31.38,0
131,90071,12,8891,"OUTDOOR & CAMPING",3,42.12,301,6.99,0
132,90072,13,9812,"GROCERY & FOOD",3,103.98,302,23.12,0
133,90073,14,1045,"BEVERAGES & JUICE",8,193.41,303,35.81,0
134,90074,15,3209,"PERSONAL CARE & BEAUTY",5,96.14,304,20.22,0
135,90075,16,5541,"ATHLETIC & WELLNESS",1,19.42,300,4.1,0
136,90076,17,7720,"SEASONAL APPAREL",8,257.37,301,53.04,0
137,90077,18,8891,"OUTDOOR & CAMPING",7,104.5,302,26.18,0
138,90078,19,9812,"GROCERY & FOOD",6,202.83,303,45.77,0
139,90079,20,1045,"BEVERAGES & JUICE",1,25.71,304,7.04,0
100,90080,21,3209,"PERSONAL CARE & BEAUTY",8,296.18,300,82.76,0
101,90081,22,5541,"ATHLETIC & WELLNESS",1,26.29,301,7.06,5
102,90082,23,7720,"SEASONAL APPAREL",4,165.89,302,46.43,0
103,90083,24,8891,"OUTDOOR & CAMPING",3,126.14,303,15.9,0
104,90084,25,9812,"GROCERY & FOOD",8,311.05,304,45.93,0
105,90085,26,1045,"BEVERAGES & JUICE",7,238.19,300,48.32,5
106,90086,27,3209,"PERSONAL CARE & BEAUTY",2,81.89,301,9.21,0
107,90087,28,5541,"ATHLETIC & WELLNESS",4,164.7,302,18.37,5
108,90088,29,7720,"SEASONAL APPAREL",2,44.92,303,6.28,0
109,90089,30,8891,"OUTDOOR & CAMPING",7,104.66,304,27.02,0
110,90090,1,9812,"GROCERY & FOOD",3,117.09,300,26.02,5
111,90091,2,1045,"BEVERAGES & JUICE",6,258.65,301,53.97,0
112,90092,3,3209,"PERSONAL CARE & BEAUTY",2,26.21,302,5.75,0
113,90093,4,5541,"ATHLETIC & WELLNESS",2,78.85,303,23.57,0
114,90094,5,7720,"SEASONAL APPAREL",8,226.51,304,38.04,5
115,90095,6,8891,"OUTDOOR & CAMPING",7,123.48,300,13.87,0
116,90096,7,9812,"GROCERY & FOOD",1,39.88,301,8.62,0
117,90097,8,1045,"BEVERAGES & JUICE",6,168.77,302,37.65,0
118,90098,9,3209,"PERSONAL CARE & BEAUTY",5,129.38,303,25.77,0
119,90099,10,5541,"ATHLETIC & WELLNESS",4,121.14,304,31.26,5
120,90100,11,7720,"SEASONAL APPAREL",6,158.64,300,25.22,5
121,90101,12,8891,"OUTDOOR & CAMPING",5,217.02,301,26.6,5
122,90102,13,9812,"GROCERY & FOOD",2,83.92,302,23.64,0
123,90103,14,1045,"BEVERAGES & JUICE",7,119.34,303,22.91,0
124,90104,15,3209,"PERSONAL CARE & BEAUTY",4,146.79,304,23.04,0
125,90105,16,5541,"ATHLETIC & WELLNESS",3,62.95,300,12.16,0
126,90106,17,7720,"SEASONAL APPAREL",3,82.22,301,21.88,0
127,90107,18,8891,"OUTDOOR & CAMPING",5,98.01,302,19.09,0
128,90108,19,9812,"GROCERY & FOOD",6,172.3,303,43.07,0
129,90109,20,1045,"BEVERAGES & JUICE",8,178.91,304,44.01,0
130,90110,21,3209,"PERSONAL CARE & BEAUTY",6,165.95,300,42.88,0
131,90111,22,5541,"ATHLETIC & WELLNESS",4,117.96,301,30.71,0
132,90112,23,7720,"SEASONAL APPAREL",1,40.86,302,6.19,0
133,90113,24,8891,"OUTDOOR & CAMPING",4,182.4,303,25.3,0
134,90114,25,9812,"GROCERY & FOOD",5,178.1,304,28.4,0
135,90115,26,1045,"BEVERAGES & JUICE",3,141.08,300,40.78,0
136,90116,27,3209,"PERSONAL CARE & BEAUTY",5,206.16,301,61.32,0
137,90117,28,5541,"ATHLETIC & WELLNESS",5,182.86,302,51,0
138,90118,29,7720,"SEASONAL APPAREL",5,159.4,303,18.67,0
139,90119,30,8891,"OUTDOOR & CAMPING",1,43.66,304,5.05,0
100,90120,1,9812,"GROCERY & FOOD",3,79.31,300,13.89,0
